Locality,Zip code,Property type,Price,Bedrooms,Living area,Surface of the plot,Facades,Building condition,Fireplace,Equipped kitchen,Garden,Garden surface,Terrace,Terrace surface,Furnished,Swimming pool,Province,Property,Region
Kortrijk,8501,House,439000,3.0,172.0,393.0,,Good,0,0,0,0.0,0,0.0,0,0,West-Vlaanderen,House,Flanders
Hasselt,3590,House,445000,3.0,280.0,1737.0,,Not mentioned,0,1,0,0.0,1,28.0,0,0,Limburg,House,Flanders
Tielt,8750,House,447500,3.0,208.0,419.0,,Good,0,0,0,0.0,0,0.0,0,0,West-Vlaanderen,House,Flanders
Brussels,1180,House,449000,3.0,125.0,345.0,2.0,Good,0,0,1,120.0,0,0.0,0,0,Brussels,House,Brussels
Antwerp,2050,House,449000,3.0,125.0,163.0,4.0,As new,0,1,1,90.0,0,0.0,0,0,Antwerp,House,Flanders
Huy,4500,Apartment_Block,449000,5.0,321.0,142.0,2.0,Good,0,0,0,0.0,0,0.0,0,0,Liège,Other,Wallonia
Oostend,8450,House,449000,3.0,120.0,274.0,,Good,0,1,0,0.0,0,0.0,0,0,West-Vlaanderen,House,Flanders
Eeklo,9991,Villa,450000,5.0,318.0,932.0,,Good,0,1,0,0.0,0,0.0,0,0,Oost-Vlaanderen,House,Flanders
Roeselare,8830,House,450600,3.0,217.0,348.0,,Good,0,0,0,0.0,0,0.0,0,0,West-Vlaanderen,House,Flanders
Kortrijk,8501,House,453400,3.0,180.0,419.0,,Good,0,0,0,0.0,0,0.0,0,0,West-Vlaanderen,House,Flanders
Antwerp,2390,House,459000,4.0,160.0,307.0,3.0,Just renovated,0,1,1,250.0,1,12.0,0,0,Antwerp,House,Flanders
Kortrijk,8510,Villa,460000,3.0,168.0,690.0,4.0,Good,0,1,0,0.0,0,0.0,0,0,West-Vlaanderen,House,Flanders
Oudenaarde,9700,House,467721,4.0,178.0,242.0,,Good,0,0,0,0.0,0,0.0,0,0,Oost-Vlaanderen,House,Flanders
Mechelen,2500,Mansion,469000,4.0,270.0,170.0,2.0,To be done up,0,1,1,60.0,0,0.0,0,0,Antwerp,House,Flanders
Gent,9850,House,469000,4.0,252.0,1050.0,,Good,0,0,0,0.0,0,0.0,0,0,Oost-Vlaanderen,House,Flanders
Turnhout,2200,House,475000,6.0,433.0,,,Good,0,0,1,586.0,1,18.0,0,0,Antwerp,House,Flanders
Halle-Vilvoorde,1730,House,490000,3.0,140.0,316.0,3.0,As new,0,1,1,200.0,1,20.0,0,0,Vlaams-Brabant,House,Flanders
Mons,7050,Castle,490000,10.0,974.0,4491.0,,To renovate,0,0,0,0.0,0,0.0,0,0,Hainaut,House,Wallonia
Brussels,1000,House,495000,9.0,210.0,110.0,2.0,To be done up,0,0,0,0.0,0,0.0,0,0,Brussels,House,Brussels
Gent,9860,Villa,495000,4.0,178.0,660.0,4.0,Good,1,1,1,482.0,0,0.0,0,0,Oost-Vlaanderen,House,Flanders
Gent,9090,House,499000,4.0,227.0,523.0,4.0,Good,0,1,0,0.0,0,0.0,0,0,Oost-Vlaanderen,House,Flanders
Neufchâteau,6838,Mixed_Use_Building,500000,13.0,737.0,429.0,2.0,Good,0,1,0,0.0,1,40.0,0,0,Luxembourg,Other,Wallonia
Mechelen,2861,House,512000,3.0,218.0,,4.0,Good,0,0,0,0.0,0,0.0,0,0,Antwerp,House,Flanders
Veurne,8620,House,512000,4.0,185.0,139.0,,Good,0,0,0,0.0,0,0.0,0,0,West-Vlaanderen,House,Flanders
Turnhout,2321,House,515000,3.0,168.0,459.0,3.0,As new,0,0,0,0.0,1,36.0,0,0,Antwerp,House,Flanders
Aalst,9404,House,525100,3.0,251.0,650.0,,Good,0,0,0,0.0,0,0.0,0,0,Oost-Vlaanderen,House,Flanders
Huy,4570,House,529000,4.0,262.0,6303.0,4.0,Good,0,1,0,0.0,0,0.0,0,0,Liège,House,Wallonia
Aalst,9404,House,543800,3.0,267.0,658.0,,Good,0,0,0,0.0,0,0.0,0,0,Oost-Vlaanderen,House,Flanders
Aalst,9404,House,547000,3.0,238.0,749.0,,Good,0,0,0,0.0,0,0.0,0,0,Oost-Vlaanderen,House,Flanders
Antwerp,2970,House,549000,4.0,173.0,1538.0,4.0,To renovate,1,1,0,0.0,0,0.0,0,0,Antwerp,House,Flanders
Antwerp,2018,Mixed_Use_Building,549900,3.0,276.0,90.0,2.0,To be done up,0,1,0,0.0,0,0.0,0,0,Antwerp,Other,Flanders
Charleroi,6222,House,560000,3.0,370.0,1376.0,3.0,Good,1,1,0,0.0,0,0.0,0,0,Hainaut,House,Wallonia
Bastogne,6600,Villa,565000,4.0,275.0,593.0,3.0,Just renovated,0,1,0,0.0,0,0.0,0,0,Luxembourg,House,Wallonia
Brugge,8370,House,565000,,485.0,485.0,,Good,0,0,0,0.0,0,0.0,0,0,West-Vlaanderen,House,Flanders
Soignies,7860,Villa,575000,5.0,750.0,3110.0,4.0,As new,0,1,0,0.0,0,0.0,0,0,Hainaut,House,Wallonia
Soignies,7864,Villa,575000,5.0,750.0,3110.0,4.0,As new,0,1,0,0.0,0,0.0,0,0,Hainaut,House,Wallonia
