refnis,localité,année,période,nombre transactions - maison,prix médian(€)-maison,prix premier quartile(€)-maison,prix troisième quartile(€)-maison,nombre transactions-appartement,prix médian(€)-appartement,prix premier quartile(€)-appartement,prix troisième quartile(€)-appartement,,,,0
21000,ARRONDISSEMENT DE BRUXELLES-CAPITALE,2014,Q4,49,870000,675000,1175000,2083,175500,132500,255000,,,,4
21000,ARRONDISSEMENT DE BRUXELLES-CAPITALE,2015,Q1,28,912500,665000,1100000,1710,175000,130000,250000,,,,4
21000,ARRONDISSEMENT DE BRUXELLES-CAPITALE,2015,Q2,26,815000,520000,1252810,2059,180000,135000,252000,,,,4
21000,ARRONDISSEMENT DE BRUXELLES-CAPITALE,2015,Q3,37,825000,511000,1050000,2047,190000,138000,266500,,,,4
21000,ARRONDISSEMENT DE BRUXELLES-CAPITALE,2015,Q4,43,850000,580000,1050000,1936,184000,135000,265000,,,,4
21000,ARRONDISSEMENT DE BRUXELLES-CAPITALE,2016,Q1,23,900000,750000,1200000,1762,180000,137000,267500,,,,4
21000,ARRONDISSEMENT DE BRUXELLES-CAPITALE,2016,Q2,36,843100,590000,1437500,2136,185000,140000,271600,,,,4
21000,ARRONDISSEMENT DE BRUXELLES-CAPITALE,2016,Q3,36,1020000,705000,1500000,2080,190000,141500,270000,,,,4
21000,ARRONDISSEMENT DE BRUXELLES-CAPITALE,2016,Q4,50,798500,585500,1100000,1995,185000,137000,265000,,,,4
21000,ARRONDISSEMENT DE BRUXELLES-CAPITALE,2017,Q1,33,892500,625000,1257500,1980,185000,140000,257000,,,,4
21000,ARRONDISSEMENT DE BRUXELLES-CAPITALE,2017,Q2,30,730000,580000,1100000,2390,185000,142000,260000,,,,4
21000,ARRONDISSEMENT DE BRUXELLES-CAPITALE,2017,Q3,37,830000,625000,1280000,2288,195000,150000,275000,,,,4
21000,ARRONDISSEMENT DE BRUXELLES-CAPITALE,2017,Q4,35,860000,602000,1120000,2330,195000,145425,275000,,,,4
